> GMT_XY
256.836 -51.4297
256.792 -51.3979
256.748 -51.3661
256.772 -51.3318
256.822 -51.2855
256.837 -51.2182
256.862 -51.2061
256.941 -51.0362
256.945 -50.9136
256.95 -50.8132
256.92 -50.6918
256.916 -50.6029
256.888 -50.5371
256.835 -50.4722
256.798 -50.3957
256.743 -50.2863
256.64 -50.279
256.591 -50.3364
256.548 -50.338
256.514 -50.3392
256.488 -50.329
256.495 -50.2843
256.511 -50.2503
256.552 -50.2042
256.55 -50.1487
256.548 -50.1042
256.522 -50.0718
256.479 -50.0844
256.411 -50.0869
256.402 -50.065
256.369 -50.0885
256.379 -50.1215
256.353 -50.1225
256.343 -50.0894
256.359 -50.0665
256.35 -50.0335
256.331 -50.0008
256.305 -49.9795
256.303 -49.935
256.278 -49.9359
256.301 -49.8683
256.289 -49.7796
256.278 -49.7021
256.258 -49.6249
256.223 -49.5928
256.168 -49.4835
256.131 -49.418
256.105 -49.4078
256.104 -49.3856
256.045 -49.3877
256.046 -49.4322
255.997 -49.4786
255.929 -49.4811
255.924 -49.3476
255.922 -49.292
255.956 -49.2908
255.963 -49.2571
255.936 -49.2025
255.911 -49.2145
255.887 -49.2599
255.881 -49.3269
255.872 -49.3384
255.829 -49.3177
255.793 -49.2745
255.726 -49.2881
255.683 -49.3007
255.64 -49.2689
255.622 -49.2473
255.621 -49.2251
255.604 -49.2257
255.588 -49.2486
255.562 -49.2384
255.552 -49.1942
255.559 -49.1716
255.541 -49.1389
255.482 -49.1411
255.475 -49.1859
255.449 -49.1868
255.432 -49.1874
255.414 -49.1547
255.386 -49.0889
255.36 -49.0898
255.353 -49.1346
255.327 -49.1133
255.335 -49.0908
255.292 -49.0923
255.291 -49.059
255.247 -49.0272
255.198 -49.0735
255.171 -49.0411
255.137 -49.0534
255.068 -49.0114
254.991 -49.0142
254.939 -48.9938
254.912 -48.9392
254.867 -48.874
254.841 -48.8749
254.832 -48.853
254.797 -48.8431
254.762 -48.811
254.761 -48.7777
254.794 -48.7542
254.785 -48.7322
254.767 -48.7217
254.75 -48.7112
254.69 -48.7023
254.68 -48.6804
254.697 -48.6686
254.713 -48.6347
254.687 -48.6356
254.645 -48.6371
254.629 -48.66
254.603 -48.6609
254.584 -48.6171
254.599 -48.5608
254.632 -48.5262
254.665 -48.4805
254.655 -48.4586
